Code,Name,Median_2001,Median_2011
E01000434,Bexley 008G,20470.00,28920.00
E01000435,Bexley 010E,22670.00,30890.00
E01000436,Bexley 011E,28330.00,39780.00
E01000437,Bexley 007A,27140.00,37350.00
E01000438,Bexley 007B,26120.00,36110.00
E01000439,Bexley 007C,24730.00,34580.00
E01000440,Bexley 007D,27690.00,37820.00
E01000441,Bexley 007E,25560.00,34670.00
E01000442,Bexley 006E,26680.00,36740.00
E01000443,Bexley 024B,27390.00,38910.00
E01000444,Bexley 023B,32520.00,45600.00
E01000445,Bexley 024C,29850.00,41880.00
E01000446,Bexley 024D,28350.00,40250.00
E01000447,Bexley 023C,28890.00,42410.00
E01000448,Bexley 023D,32610.00,46200.00
E01000449,Bexley 023E,31260.00,44730.00
E01000450,Bexley 009E,25710.00,37120.00
E01000451,Bexley 009F,27650.00,39010.00
E01000452,Bexley 009G,28170.00,39620.00
E01000453,Bexley 013B,28230.00,38470.00
E01000454,Bexley 013C,25510.00,35310.00
E01000455,Bexley 013D,27540.00,38650.00
E01000456,Bexley 013E,28090.00,38330.00
E01000457,Bexley 026D,28180.00,38520.00
E01000458,Bexley 027E,30250.00,42480.00
E01000459,Bexley 027F,27380.00,38290.00
E01000460,Bexley 022E,33810.00,45940.00
E01000461,Bexley 024E,30570.00,42290.00
E01000462,Bexley 026E,28080.00,37540.00
E01000463,Bexley 025E,29880.00,41900.00
E01000464,Bexley 002D,20510.00,29800.00
E01000465,Bexley 002E,21920.00,29210.00
E01000466,Bexley 001A,21810.00,32860.00
E01000467,Bexley 001B,24110.00,34010.00
E01000468,Bexley 001C,25490.00,35300.00
E01000469,Bexley 001D,23810.00,34780.00
E01000470,Bexley 002F,21350.00,29060.00
E01032566,Bexley 029D,24650.00,34230.00
E01000471,Brent 026A,24180.00,32850.00
E01000472,Brent 029A,24650.00,33460.00
E01000473,Brent 029B,23090.00,30790.00
E01000474,Brent 026B,23280.00,31090.00
E01000475,Brent 029C,24400.00,32700.00
E01000476,Brent 026C,23760.00,32600.00
E01000477,Brent 026D,23560.00,30780.00
E01000478,Brent 029D,23440.00,32620.00
E01000479,Brent 009A,28950.00,39320.00
E01000480,Brent 006A,30490.00,41540.00
E01000481,Brent 009B,23740.00,32560.00
E01000482,Brent 009C,22250.00,30660.00
E01000483,Brent 009D,21530.00,29400.00
E01000484,Brent 006B,23320.00,32170.00
E01000485,Brent 006C,23960.00,34080.00
E01000486,Brent 006D,28840.00,38500.00
E01000487,Brent 006E,27350.00,35720.00
E01000488,Brent 022A,26600.00,38620.00
E01000489,Brent 030A,28680.00,41260.00
E01000490,Brent 023A,29120.00,39950.00
E01000491,Brent 030B,28590.00,40120.00
E01000492,Brent 030C,29570.00,43240.00
E01000493,Brent 030D,30170.00,42450.00
E01000494,Brent 023B,28400.00,38480.00
E01000495,Brent 023C,26330.00,36500.00
E01000497,Brent 011A,24570.00,32340.00
E01000498,Brent 010B,22400.00,30350.00
E01000499,Brent 011B,23200.00,31180.00
E01000501,Brent 011C,22560.00,30240.00
E01000502,Brent 011D,25190.00,32580.00
E01000503,Brent 011E,24570.00,33100.00
E01000504,Brent 018A,26960.00,37790.00
E01000505,Brent 018B,27130.00,37320.00
E01000506,Brent 014A,23650.00,29500.00
E01000507,Brent 018C,27040.00,37310.00
E01000508,Brent 025A,21040.00,27890.00
E01000509,Brent 014B,25090.00,31120.00
E01000510,Brent 014C,24750.00,31720.00
E01000511,Brent 014D,24930.00,33020.00
E01000512,Brent 018D,27860.00,38130.00
E01000513,Brent 002A,26170.00,36360.00
E01000514,Brent 002B,25750.00,36520.00
E01000515,Brent 003A,23750.00,32090.00
E01000516,Brent 002C,26060.00,35340.00
E01000517,Brent 003B,27630.00,38150.00
E01000518,Brent 005A,24660.00,35090.00
E01000519,Brent 005B,24280.00,34150.00
E01000520,Brent 002D,25420.00,34520.00
E01000521,Brent 025B,20410.00,26140.00
E01000522,Brent 025C,21220.00,29390.00
E01000523,Brent 031A,21940.00,29260.00
E01000524,Brent 031B,21180.00,27640.00
E01000525,Brent 031C,21810.00,28350.00
E01000526,Brent 025D,19260.00,27370.00
E01000527,Brent 025E,20890.00,27770.00
E01000528,Brent 025F,19410.00,27340.00
E01000530,Brent 033A,27430.00,39000.00
E01000531,Brent 033B,25630.00,35820.00
E01000532,Brent 033C,25640.00,38220.00
E01000533,Brent 031E,23090.00,30550.00
E01000534,Brent 033D,27010.00,37800.00
E01000535,Brent 031F,25010.00,34200.00
E01000536,Brent 004A,32080.00,43570.00
E01000538,Brent 004B,33540.00,45430.00
E01000539,Brent 004C,30730.00,42110.00
E01000540,Brent 004D,33270.00,43810.00
E01000541,Brent 004E,28070.00,39840.00
E01000543,Brent 003E,27440.00,37400.00
E01000544,Brent 034A,21450.00,29560.00
E01000545,Brent 028A,25650.00,37050.00
E01000546,Brent 028B,25780.00,38650.00
E01000547,Brent 028C,25610.00,37080.00
E01000548,Brent 028D,23060.00,35450.00
E01000549,Brent 028E,27990.00,41470.00
E01000550,Brent 034B,21960.00,31830.00
E01000551,Brent 034C,20000.00,27490.00
E01000552,Brent 034D,19460.00,27140.00
E01000553,Brent 015A,26170.00,33270.00
E01000554,Brent 015B,26940.00,34140.00
E01000555,Brent 015C,30770.00,41310.00
E01000556,Brent 015D,26130.00,32420.00
E01000557,Brent 015E,26620.00,35270.00
E01000558,Brent 015F,28310.00,40150.00
E01000559,Brent 018E,28400.00,38840.00
E01000560,Brent 023D,30320.00,41120.00
E01000561,Brent 023E,28040.00,37080.00
E01000562,Brent 008A,33450.00,45090.00
E01000563,Brent 008B,32040.00,43160.00
E01000564,Brent 013A,26190.00,35580.00
E01000565,Brent 013B,26870.00,37240.00
E01000566,Brent 008C,29640.00,40720.00
E01000567,Brent 016A,25900.00,36680.00
E01000568,Brent 008D,31610.00,41430.00
E01000569,Brent 008E,31090.00,42760.00
E01000570,Brent 012A,24120.00,31880.00
E01000571,Brent 012B,28000.00,37220.00
E01000572,Brent 007A,28090.00,39010.00
E01000573,Brent 007B,26770.00,37040.00
E01000574,Brent 007C,28060.00,37750.00
E01000575,Brent 007D,27460.00,36590.00
E01000576,Brent 012C,26850.00,37280.00
E01000577,Brent 007E,25220.00,32360.00
E01000578,Brent 012D,25810.00,34640.00
E01000579,Brent 032A,27470.00,39670.00
E01000580,Brent 032B,30720.00,44700.00
E01000581,Brent 030E,30610.00,46820.00
E01000582,Brent 032C,31200.00,49080.00
E01000583,Brent 032D,29210.00,41230.00
E01000584,Brent 033E,27460.00,41840.00
E01000585,Brent 033F,28620.00,40410.00
E01000586,Brent 032E,25960.00,37950.00
E01000587,Brent 001A,26610.00,35700.00
